survey,survey_definition_id,common_name,year,biomass,cv,n_haul,n_count
AI,52,Greenland turbot,1991,11925.587083,0.3035068572504387,331,37
AI,52,Greenland turbot,1994,28234.975457,0.316089613657449,380,49
AI,52,Greenland turbot,1997,28342.879969,0.5448980074921662,396,43
AI,52,Greenland turbot,2000,9359.303953,0.34873039406395173,419,45
AI,52,Greenland turbot,2002,9891.430235,0.34874264333437255,414,43
AI,52,Greenland turbot,2004,11334.348827,0.22330284805880288,419,43
AI,52,Greenland turbot,2006,20933.882544,0.44535878497013015,357,41
AI,52,Greenland turbot,2010,6758.308623,0.4561674442283636,418,23
AI,52,Greenland turbot,2012,2599.901865,0.33290588022379397,420,20
AI,52,Greenland turbot,2014,2528.695258,0.2232976415457601,410,20
AI,52,Greenland turbot,2016,2377.608967,0.5297702279362142,419,10
AI,52,Greenland turbot,2018,373.242541,0.8386245260198713,420,5
AI,52,Greenland turbot,2022,539.338087,0.5452382579328562,398,7
AI,52,Greenland turbot,2024,604.126345,0.3820472138948982,307,8
EBS Shelf,98,Greenland turbot,1982,30192.462701,0.12716014002269208,329,131
EBS Shelf,98,Greenland turbot,1983,22979.817127,0.12702436130986844,353,107
EBS Shelf,98,Greenland turbot,1984,16650.257476,0.15417298562929632,355,60
EBS Shelf,98,Greenland turbot,1985,7676.195766,0.20179148093821164,353,64
EBS Shelf,98,Greenland turbot,1986,5294.308703,0.2328639829520666,354,59
EBS Shelf,98,Greenland turbot,1987,10191.87534,0.248221284230378,343,32
EBS Shelf,98,Greenland turbot,1988,11604.150291,0.2637941873044848,353,45
EBS Shelf,98,Greenland turbot,1989,8671.283935,0.2676344257471421,354,51
EBS Shelf,98,Greenland turbot,1990,14045.019691,0.3063560466199134,351,62
EBS Shelf,98,Greenland turbot,1991,10403.101392,0.24334478991975295,352,58
EBS Shelf,98,Greenland turbot,1992,23930.779197,0.23878729219604963,336,59
EBS Shelf,98,Greenland turbot,1993,30257.48832,0.15854646822300958,355,61
EBS Shelf,98,Greenland turbot,1994,48617.296651,0.229081738762713,355,47
EBS Shelf,98,Greenland turbot,1995,34697.745045,0.21424138007878551,356,42
EBS Shelf,98,Greenland turbot,1996,30189.170355,0.1555564312594978,355,60
EBS Shelf,98,Greenland turbot,1997,29454.374396,0.20805160741195494,356,51
EBS Shelf,98,Greenland turbot,1998,28047.59593,0.1434596390852148,355,59
EBS Shelf,98,Greenland turbot,1999,20246.98734,0.20802626883285907,353,36
EBS Shelf,98,Greenland turbot,2000,22529.693345,0.2018061709598085,352,46
EBS Shelf,98,Greenland turbot,2001,25270.543938,0.18886378066452547,355,41
EBS Shelf,98,Greenland turbot,2002,21467.072353,0.22117585786309696,355,53
EBS Shelf,98,Greenland turbot,2003,23656.944809,0.2005342016229963,356,51
EBS Shelf,98,Greenland turbot,2004,21116.376143,0.19534645604736264,355,48
EBS Shelf,98,Greenland turbot,2005,16133.319982,0.18690645896959857,353,46
EBS Shelf,98,Greenland turbot,2006,17425.891834,0.18807436211329054,356,46
EBS Shelf,98,Greenland turbot,2007,12949.715785,0.19341266055192133,356,67
EBS Shelf,98,Greenland turbot,2008,11490.04857,0.24021201024914157,355,64
EBS Shelf,98,Greenland turbot,2009,9915.696935,0.21099497240624362,356,84
EBS Shelf,98,Greenland turbot,2010,17523.951121,0.22353359600684722,356,125
EBS Shelf,98,Greenland turbot,2011,19365.447616,0.1370215730366202,356,136
EBS Shelf,98,Greenland turbot,2012,18784.024103,0.1479223883020527,356,96
EBS Shelf,98,Greenland turbot,2013,19789.244439,0.1806426184262224,356,84
EBS Shelf,98,Greenland turbot,2014,22087.585086,0.1451689211824342,356,82
EBS Shelf,98,Greenland turbot,2015,19071.806046,0.14508113552690177,356,62
EBS Shelf,98,Greenland turbot,2016,15263.157163,0.14210443321832258,356,67
EBS Shelf,98,Greenland turbot,2017,13895.192868,0.14530090571693993,356,53
EBS Shelf,98,Greenland turbot,2018,10117.404846,0.1454592065442357,356,57
EBS Shelf,98,Greenland turbot,2019,9582.401021,0.16025521948172994,356,47
EBS Shelf,98,Greenland turbot,2021,7363.371892,0.20965544233185587,356,36
EBS Shelf,98,Greenland turbot,2022,6403.514868,0.19899240332144869,356,29
EBS Shelf,98,Greenland turbot,2023,4029.54804,0.2142548010743303,356,30
EBS Shelf,98,Greenland turbot,2024,2486.79327,0.35662482427711906,330,12
EBS Slope,78,Greenland turbot,2002,27409.262424,0.11962845768460126,141,102
EBS Slope,78,Greenland turbot,2004,36758.823963,0.30679739606142165,231,157
EBS Slope,78,Greenland turbot,2008,17580.611403,0.12872497155834092,200,135
EBS Slope,78,Greenland turbot,2010,20046.233151,0.0978975987922043,200,142
EBS Slope,78,Greenland turbot,2012,18018.889995,0.10420750867031364,189,132
EBS Slope,78,Greenland turbot,2016,24803.097259,0.1834637850938814,175,127
