strata,year,rpn,rpn_cv,rpw,rpw_cv
AI,1996,33439.817539168456,0.05502802056655892,63975.83758740893,0.15840482598043354
EBS Slope,1997,57216.30048243788,0.08330621783715757,297630.6839408532,0.07664885112761165
AI,1998,35895.80467052099,0.18950904267911375,186415.41112266507,0.187853103447502
EBS Slope,1999,59182.42781241213,0.15250399886289365,277428.23685209034,0.14417760956599093
AI,2000,20639.551119174244,0.17626508563221735,103692.57450118533,0.1741727863092114
EBS Slope,2001,52369.425448113434,0.11289708302899247,228105.40450029832,0.10043267827535826
AI,2002,19217.352548307812,0.24150937829854413,106849.56416374935,0.23538086984763446
EBS Slope,2003,45017.50157886317,0.2356849694390035,195957.43353106288,0.1973436808503552
AI,2004,14408.455163804823,0.32681641059023275,74426.0264509375,0.2905426375315847
EBS Slope,2005,23436.92839192828,0.15283665196470092,100762.05680833652,0.13936612164843235
AI,2006,6430.4336664476195,0.27618905989214343,31392.85633291469,0.26730160358268457
EBS Slope,2007,17019.736393560663,0.24422254967263662,75477.08527748236,0.24213920061520577
AI,2008,5300.930943529772,0.30288514356564505,28250.156859947896,0.29144021587774277
EBS Slope,2009,25744.157317312507,0.24390303664104734,98339.82965773084,0.23329712605898534
AI,2010,3110.959088065619,0.31017843838461917,18920.829845443935,0.3160478404056219
EBS Slope,2011,14590.353196025215,0.22209970217231406,50554.78714600759,0.21062214199498216
AI,2012,6677.2798479731855,0.30302685701959675,27723.573309032447,0.3036666253945312
EBS Slope,2013,19485.474731424452,0.2511114818014942,71674.70695924138,0.23319450716004125
AI,2014,5578.908757697339,0.20322216585581077,20934.348994838067,0.20382050249378111
EBS Slope,2015,20930.450154968592,0.23389992377965124,71113.84470552785,0.209710323078759
AI,2016,2962.179235900472,0.23960912117343386,11851.17649981967,0.23295374310770037
EBS Slope,2017,20218.393132078487,0.22536300029091244,51054.69684393584,0.21444064118142248
AI,2018,5256.833089398956,0.36385014244126984,13600.069041235416,0.3052303549754253
EBS Slope,2019,9950.89600931864,0.2664598574206749,28971.893318451297,0.2551455980178252
AI,2020,4791.508442312949,0.30901593138245675,13704.810200874887,0.30819010487904086
EBS Slope,2021,15375.987473638637,0.19669823234164852,49133.09968370907,0.18745524588291598
AI,2022,2921.9319098788546,0.3611880794720649,10307.53079576871,0.3696501161432259
EBS Slope,2023,10279.13140373081,0.166469279516473,34119.637281650495,0.1672575700112733
